id,order,type,title,description,customer,contact,status,valid_start,path
1,2,Manufacturing,armed insulation not functional,Ordered armed insulation on 04/20/2017. Product arrived on 04/22/2017 and not functional. Please Help!,1,,in-progress,04/20/2017,1.0
2,9,Manufacturing,alert doubling not functional,Ordered alert doubling on 04/21/2017. Product arrived on 04/27/2017 and not functional. Please Help!,2,,closed,04/21/2017,1.0
3,14,Manufacturing,turkish lynx not functional,Ordered turkish lynx on 04/22/2017. Product arrived on 04/25/2017 and not functional. Please Help!,3,,closed,04/22/2017,0.0
4,15,Manufacturing,dull chairlift not functional,Ordered dull chairlift on 04/22/2017. Product arrived on 04/28/2017 and not functional. Please Help!,4,,closed,04/22/2017,1.0
5,17,Shipping,harsh yogurt was delivered broken,Ordered harsh yogurt on 04/22/2017. Product arrived on 04/29/2017 and was damaged in shipping. Please Help!,5,,closed,04/22/2017,0.0
6,22,Manufacturing,alert doubling not functional,Ordered alert doubling on 04/22/2017. Product arrived on 05/04/2017 and not functional. Please Help!,6,,closed,04/22/2017,0.0
7,32,Shipping,A shirt for mammoth shortwave was delivered broken,Ordered mammoth shortwave on 04/25/2017. Product arrived on 05/06/2017 and was delivered broken. Please Help!,7,,closed,04/25/2017,1.0
8,35,Shipping,russian great-grandmother was delivered broken,Ordered russian great-grandmother on 04/26/2017. Product arrived on 05/06/2017 and was delivered broken. Please Help!,8,,closed,04/26/2017,1.0
9,37,Shipping,reliable nephew was damaged in shipping,Ordered reliable nephew on 04/26/2017. Product arrived on 04/29/2017 and was damaged in shipping. Please Help!,,russellbryan@gmail.com,closed,04/26/2017,0.0
10,41,Did not like,original explanation not as expected,Ordered original explanation on 04/27/2017. Product arrived on 05/02/2017 and not as advertised. Please Help!,10,,closed,04/27/2017,0.0
11,47,Shipping,weird air was damaged in shipping,Ordered weird air on 04/29/2017. Product arrived on 05/05/2017 and was delivered broken. Please Help!,11,,closed,04/29/2017,0.0
12,48,Did not like,dangerous bolero not as expected,Ordered dangerous bolero on 04/29/2017. Product arrived on 05/11/2017 and not as expected. Please Help!,12,,closed,04/29/2017,1.0
13,93,Shipping,filthy search was damaged in shipping,Ordered filthy search on 05/06/2017. Product arrived on 05/17/2017 and was delivered broken. Please Help!,13,,in-progress,05/06/2017,1.0
14,121,Shipping,golden clam was delivered broken,Ordered golden clam on 05/09/2017. Product arrived on 05/14/2017 and was delivered broken. Please Help!,14,,closed,05/09/2017,0.0
15,127,Did not like,weird air not as expected,Ordered weird air on 05/10/2017. Product arrived on 05/13/2017 and not as advertised. Please Help!,15,,closed,05/10/2017,0.0
16,137,Shipping,soft bike was damaged in shipping,Ordered soft bike on 05/12/2017. Product arrived on 05/14/2017 and was damaged in shipping. Please Help!,16,,closed,05/12/2017,0.0
17,144,Did not like,stingy sharon not as expected,Ordered stingy sharon on 05/12/2017. Product arrived on 05/20/2017 and not as expected. Please Help!,,steinbobby@gmail.com,in-progress,05/12/2017,0.0
18,161,Shipping,unfair fact was damaged in shipping,Ordered unfair fact on 05/15/2017. Product arrived on 05/28/2017 and was damaged in shipping. Please Help!,18,,closed,05/15/2017,1.0
19,162,Manufacturing,inadequate faucet not functional,Ordered inadequate faucet on 05/15/2017. Product arrived on 05/18/2017 and not functional. Please Help!,19,,closed,05/15/2017,1.0
20,174,Manufacturing,A shirt for planned casserole not functional,Ordered planned casserole on 05/17/2017. Product arrived on 05/29/2017 and not functional. Please Help!,,mcarter@morales.info,closed,05/17/2017,0.0
21,188,Shipping,sunglasses for elaborate feet was delivered broken,Ordered elaborate feet on 05/20/2017. Product arrived on 05/24/2017 and was delivered broken. Please Help!,21,,new,05/20/2017,0.0
22,198,Did not like,liberal spinach not as advertised,Ordered liberal spinach on 05/21/2017. Product arrived on 05/29/2017 and not as advertised. Please Help!,22,,closed,05/21/2017,1.0
23,206,Shipping,varied slope Extension 1 was delivered broken,Ordered varied slope Extension 1 on 05/21/2017. Product arrived on 06/01/2017 and was damaged in shipping. Please Help!,,ismith@kim.com,in-progress,05/21/2017,1.0
24,219,Did not like,exact age not as advertised,Ordered exact age on 05/25/2017. Product arrived on 05/27/2017 and not as expected. Please Help!,24,,in-progress,05/25/2017,0.0
25,224,Manufacturing,unwilling eave not functional,Ordered unwilling eave on 05/27/2017. Product arrived on 06/03/2017 and not functional. Please Help!,25,,closed,05/27/2017,0.0
26,225,Did not like,potential approval not as advertised,Ordered potential approval on 05/27/2017. Product arrived on 05/29/2017 and not as expected. Please Help!,,ryan39@lee-young.com,closed,05/27/2017,0.0
27,226,Manufacturing,left foxglove not functional,Ordered left foxglove on 05/28/2017. Product arrived on 05/30/2017 and not functional. Please Help!,,xrodriguez@yahoo.com,closed,05/28/2017,0.0
28,229,Shipping,gothic cuckoo was damaged in shipping,Ordered gothic cuckoo on 05/29/2017. Product arrived on 06/08/2017 and was delivered broken. Please Help!,28,,closed,05/29/2017,1.0
29,261,Manufacturing,robust deathwatch not functional,Ordered robust deathwatch on 06/09/2017. Product arrived on 06/16/2017 and not functional. Please Help!,,jamessanchez@gmail.com,closed,06/09/2017,1.0
30,285,Did not like,orthodox sunroom not as expected,Ordered orthodox sunroom on 06/14/2017. Product arrived on 06/23/2017 and not as expected. Please Help!,30,,closed,06/14/2017,0.0
31,301,Manufacturing,different gallon Extension 0 not functional,Ordered different gallon Extension 0 on 06/14/2017. Product arrived on 06/18/2017 and not functional. Please Help!,,rfleming@yahoo.com,closed,06/14/2017,1.0
32,324,Did not like,planned casserole not as advertised,Ordered planned casserole on 06/16/2017. Product arrived on 06/19/2017 and not as advertised. Please Help!,32,,closed,06/16/2017,0.0
33,334,Manufacturing,a hat for global son not functional,Ordered global son on 06/18/2017. Product arrived on 06/24/2017 and not functional. Please Help!,33,,closed,06/18/2017,0.0
34,341,Did not like,armed insulation not as expected,Ordered armed insulation on 06/20/2017. Product arrived on 06/23/2017 and not as advertised. Please Help!,34,,closed,06/20/2017,0.0
35,355,Shipping,russian great-grandmother was delivered broken,Ordered russian great-grandmother on 06/21/2017. Product arrived on 06/29/2017 and was damaged in shipping. Please Help!,35,,closed,06/21/2017,1.0
36,356,Shipping,puzzled sandra was damaged in shipping,Ordered puzzled sandra on 06/21/2017. Product arrived on 06/30/2017 and was delivered broken. Please Help!,36,,closed,06/21/2017,1.0
37,363,Shipping,white blade was damaged in shipping,Ordered white blade on 06/22/2017. Product arrived on 06/26/2017 and was damaged in shipping. Please Help!,,evanstimothy@hotmail.com,new,06/22/2017,1.0
38,367,Manufacturing,dull chairlift not functional,Ordered dull chairlift on 06/23/2017. Product arrived on 06/29/2017 and not functional. Please Help!,37,,in-progress,06/23/2017,1.0
39,369,Shipping,isolated death was damaged in shipping,Ordered isolated death on 06/24/2017. Product arrived on 06/29/2017 and was damaged in shipping. Please Help!,38,,in-progress,06/24/2017,1.0
40,387,Shipping,unwilling eave was delivered broken,Ordered unwilling eave on 06/30/2017. Product arrived on 07/02/2017 and was delivered broken. Please Help!,39,,closed,06/30/2017,1.0
