name,NationalTeam,bio,photo done?,"special player? (eg. key player, promising talent, etc)",position,number,caps,goals for country,club,league,date of birth,,rating_match1,rating_match2,rating_match3
Michael McGovern,North-Ireland,"Replaced Roy Carroll, his fellow Enniskillen-born keeper, during the Euro qualifying campaign but his hold on the number one spot faltered after an almost-costly slip against Hungary. Was otherwise assured for O’Neill’s team as he made up for lost time having endured a five-year wait from 2010 to win his second cap.",yes,No1 goalkeeper,Goalkeeper,,10,0,Hamilton Academicals,Premiership (Scotland),12/07/1984,,,,
Roy Carroll,North-Ireland,"A first major tournament beckons for the veteran goalkeeper 19 year after his international debut. Carroll was overlooked by his country for six years, reclaimed and then lost his place in Michael O’Neill’s team through illness, but remains in contention for a start in France. Impressed in the warm-up win over Slovenia.",yes,,Goalkeeper,,44,0,Notts County,League Two (England),30/09/1977,,,,
Alan Mannus,North-Ireland,"Born in Toronto, although the Canadian FA never got in touch, the back-up keeper has been a regular in the Northern Ireland set-up for 12 years.",yes,,Goalkeeper,,8,0,St Johnstone,Premiership (Scotland),19/05/1982,,,,
Gareth McAuley,North-Ireland,"Overlooked at every level of international football until he was 25, the epitome of the late developer has become an integral part of Northern Ireland’s disciplined defence. Hugely popular with supporters and carries an important threat at set-pieces for O’Neill’s team.",yes,Hard man,Defender,,60,7,West Bromwich Albion,Premier League (England),05/12/1979,,,,
Jonny Evans,North-Ireland,Lawrie Sanchez handed the defender an international debut before he played for Manchester United in 2006 and the then 18-year-old flourished in a memorable European Championship qualifying win over Spain. Restricted by injury to only four qualifiers en route to France but his experience and understanding alongside Gareth McAuley is crucial to O’Neill.,yes,Defensive mainstay,Defender,,48,1,West Bromwich Albion,Premier League (England),03/01/1988,,,,
Craig Cathcart,North-Ireland,"Another of Northern Ireland’s ex-Manchester United contingent, the defender has been used in a central back three by O’Neill but could operate at left back in France after Chris Brunt was ruled out by injury. Scored his first international goal in the final qualifier in Finland and added another in the friendly against Wales in March.",yes,,Defender,,27,2,Watford,Premier League (England),06/02/1989,,,,
Conor McLaughlin,North-Ireland,"The attack-minded right back established himself as first choice during the qualifying campaign. Belfast-born and brother of fellow international Ryan, he intends to repay Fleetwood Town for resurrecting his career following his release by Preston North End. “It will be brilliant to see Fleetwood represented at the European Championships,” he said.",yes,,Defender,,16,0,Fleetwood Town,League One (England),26/07/1991,,,,
Luke McCullough,North-Ireland,"The former Manchester United reserve impressed on an end-of-season tour of South America in 2014 against Uruguay and Chile. His ability to play central defence, right back or in central midfield could be beneficial in the tournament.",no,,Defender,,5,0,Doncaster Rovers,League One (England),15/02/1994,,,,
Shane Ferguson,North-Ireland,"Started the Euro qualifying campaign at left back but has also been used as a wing-back and winger depending on O’Neill’s tactics, although the former Gaelic footballer is yet to secure a regular place for club or country.",yes,,Defender,,24,1,Millwall,League One (England),12/07/1991,,,,
Lee Hodson,North-Ireland,"The Borehamwood-born defender with a Belfast-born grandmother made his international debut under Nigel Worthington and, though not a regular under O'Neill, his versatility across defence could be important.",yes,,Defender,,15,0,MK Dons,Championship (England),02/10/1991,,,,
