name,NationalTeam,bio,photo done?,"special player? (eg. key player, promising talent, etc)",position,number,caps,goals for country,club,league,date of birth,,rating_match1,rating_match2,rating_match3
Hugo Lloris,France,"The Tottenham player has been his country's No1 since 2009 even though a foul against Serbia that year led to him becoming the first goalkeeper to be sent off for France. Laurent Blanc made him captain in 2010, a decision that Didier Deschamps has endorsed.",yes,No1 goalkeeper,Goalkeeper,,74,0,Tottenham Hotspur,Premier League (England),26/12/1986,,,,
Steve Mandanda,France,"Raymond Domenech initially made the Marseille goalkeeper first-choice ahead of Hugo Lloris but reversed the order after several some costly mistakes by Mandanda, who has been No2 ever since, even if he captained his country for one match in 2011. He missed the last World Cup through injury. Mandanda, who began his professional career at Le Havre with Payet, showed his natural ability while conducting a post-match TV interview when he casually plucked a bottle out of the air that had been thrown at his head with one hand.",yes,,Goalkeeper,,22,0,Marseille,Ligue 1 (France),28/03/1985,,,,
Benoît Costil,France,"Twelve years ago the goalkeeper, now at Rennes, was part of the France Under-17s team that won the European Championship, along with players such as Karim Benzema, Samir Nasri and Hatem Ben Arfa. Yet to earn a cap at senior international level but a regular in the squad.",yes,,Goalkeeper,,0,0,Rennes,Ligue 1 (France),03/07/1987,,,,
Bacary Sagna,France,"This is likely to be the 33-year-old’s last chance to make an impact on an international tournament. Like the rest of his team, he flopped at the 2010 World Cup, then he missed Euro 2012 through injury and was behind Mathieu Debuchy in the pecking order at the last World Cup. Since then he has regained his status as first-choice right-back thanks to his solidity.",yes,,Defender,,56,0,Manchester City,Premier League (England),14/02/1983,,,,
Christophe Jallet,France,"The right-back was a regular in his country's squad for a couple of years under Laurent Blanc but never won a cap until Didier Deschamps fielded him in a friendly in 2012. Now 32, the Lyon player is an uncomplicated defender and a useful crosser going forward.",yes,,Defender,,11,1,Lyon,Ligue 1 (France),31/10/1983,,,,
Laurent Koscielny,France,"Having rejected a call-up by the country of his forefathers, Poland, the Arsenal centre-back has been a regular in France squads since 2011. A red card for slapping a Ukraine opponent during the 2014 qualifiers coincided with the emergence of Raphaël Varane and left Koscielny duelling with several others for the role of stopper alongside the Real Madrid player.",yes,,Defender,,28,0,Arsenal,Premier League (England),10/09/1985,,,,
Eliaquim Mangala,France,"Given the run-around by Luis Suárez on his international debut in 2013, Mangala has since established himself as a regular back-up centre-back in Didier Deschamps' squad, in which he is also seen as midfield cover. He has often performed solidly but occasional mistakes, as against Serbia in 2015, have undermined his case for a regular starting slot.",yes,,Defender,,7,0,Manchester City,Premier League (England),13/02/1991,,,,
Samuel Umtiti,France,"A late-call up to replace the injured Jérémy Mathieu, he can play both centrally and at left-back. Born in Yaoundé, Cameroon, he has been with Lyon since 2001, rising up through the ranks. ",yes,,Defender,,0,0,Lyon,Ligue 1 (France),14/11/1993,,,,
Patrice Evra,France,"It is a tribute to the left-back’s ability and tenacity that he remains valued by his country despite his age and his key role in the French revolution at the 2010 World Cup, where he was captain and after which he was suspended for five matches. He was born in Dakar, Senegal, to a father who is a diplomat; Paul Scholes has revealed that his old team-mate is one of 24 siblings. ""They are not from the same mother, I assure you,"" Evra has explained. ""My father, he didn't watch the television ...""",yes,,Defender,,72,0,Juventus,Serie A (Italy),15/05/1981,,,,
Lucas Digne,France,"The 22-year-old has not progressed as much as hoped in the last two years, despite moving from PSG to Roma in order to play more regularly. Impressed in the group game he played at the last World Cup but has made mistakes when given chances to stake a claim for a left-back place ahead of Patrice Evra since then.",yes,,Defender,,12,0,Paris Saint-Germain,Ligue 1 (France),20/07/1993,,,,
Paul Pogba,France,"A European champion with France Under-21s, the midfielder rapidly showed how influential he would become for the senior team by having more touches of the ball than any other player during his debut against Georgia in 2013. He has emerged as one of the most dominant young midfielders in the world, blessed with the technique, vision and power to stride past opponents with the ball, create chances and score goals.",yes,Star man,Midfielder,,30,5,Juventus,Serie A (Italy),15/03/1993,,,,
Blaise Matuidi,France,"An unused member of the squad at Euro 2012 owing mainly to injury, Matuidi has since become a regular presence in France's midfield. A natural leader, he is a smart and energetic box-to-box player, of whom the only criticism is that he does not score quite as often as he should.",yes,,Midfielder,,43,8,Paris Saint-Germain,Ligue 1 (France),09/04/1987,,,,
N'Golo Kanté,France,"The Leicester City sensation scored on his international debut against Russia in March, delivering a performance that, on the back of a superb season for Leicester City, made his inclusion in the squad mandatory. “He's a modern midfielder,” said Deschamps when calling him up for that match. “Kanté wins balls, is great in transition play, pops up everywhere and always has solutions.” His first season at Leicester arned him the nickname ""The Rash"" from midfield partner Danny Drinkwater. One of nine siblings, Kanté did not even have a car when he first moved to England but has since bought a sensible Mini Hatch to help him get around town.",yes,,Midfielder,,3,1,Leicester City,Premier League (England),29/03/1991,,,,
Yohan Cabaye,France,"An outstanding performance in the second-leg comeback against Ukraine in the play-off for a place at the 2014 World Cup suggested he would be a fixture at the base of his country's midfield for a long time but he has slipped down the pecking order in the last 18 months because others are more mobile. If he plays at the Euros, it will likely be in a more advanced midfield role.",yes,,Midfielder,,45,4,Crystal Palace,Premier League (England),14/01/1986,,,,
Moussa Sissoko,France,"No matter how badly he has performed for Newcastle, the midfielder has been a regular in the France squad under Didier Deschamps, having been used only sparingly under previous managers. A powerful runner who seldom wastes possession for his country, he rewarded the manager's faith with a decent showing at the last World Cup. Finished the season strongly at Newcastle.",yes,,Midfielder,,37,1,Newcastle United,Premier League (England),16/08/1989,,,,
Morgan Schneiderlin,France,"Didier Deschamps struggled to pronounce Schneiderlin's name when announcing that he was taking the then-uncapped midfielder to the 2014 World Cup. His chances of going to a second successive tournament seemed to have disappeared when N'Golo Kanté excelled in his absence in the March friendlies, but the player signed by Manchester United last summer made it as a late replacement for the injured and luckless Lassana Diarra.",yes,,Midfielder,,13,0,Manchester United,Premier League (England),01/11/1989,,,,
Dimitri Payet,France,"Has appeared only intermittently since making his debut in 2010 and was omitted from the last World Cup because of inconsistency. After being given a final chance to impress during the March friendlies, he seized it with style, Deschamps declaring: ""Every time he touched the ball he showed his quality.” At Nantes early in his career, Payet was handed a two-year amateur contract - a deal that led him to take on part-time work in a local clothes shop to supplement his income. Judging from the jumper-folding skills he showed in footage which emerged on Youtube (https://www.youtube.com/watch?v=LzCHPe9kqN0) earlier this year, it did not do him any harm.",yes,Unsung hero,Midfielder,,18,3,West Ham United,Premier League (England),29/03/1987,,,,
Kingsley Coman ,France,"After gaining a debut in November, the youngster crowned his next two caps, in March, with a goal against Russia, confirming that he, like Antoine Greizmann, has the dribbling quality and sharpness to ensure that Les Bleus will not miss his Bayern Munich team-mate, Franck Ribéry.",yes,,Forward,,4,1,Juventus,Serie A (Italy),13/06/1996,,,,
